SIGNAL NAME,SIMPLE EXPLANATION
WS_KBDX,
TBA_BOOT1_RC,
TBA_BOOT1,
TBA_BOOT2,
P5V_3V3G3H_EN,
PPVTT_S0,
2V5_NAND_SSD0,
P5VUSBC_X_R,
BASE_TSC,
BASE_NANO,
TBA_GATE_Q4,
PPVCCGT_CPU_PH2,
PP1V5_UPC_XA_LDO_CORE,
FAN_LT_PWM,
KBD_I2C_SCL,
USBC_XB_USB_BOT_P,
USBC_XB_CC1_CONN,
PP1V8_SLPS2R_SOC_LPADC_RC,
PVCCIO_PGOOD,
XA_CC2,
DP_INT_AUXCH_C_P,
SMBUS_SMC_3_SDA,"SMBUS_SMC_3_SDA is the SMBUS data line between the trackpad temperature sensor, temperature sensors, and the system management controller(SMC). "
PP1V8_UPC_XB_LDO,
I2C_KBD_SCL,
1V8_AWAKE,
PP3V42_G3H_SMC_SPVSR,
SMBUS_3V3_BATT_SDA,
SPI_DFR_CLK,
SPI_DFR_CS_L,
SPI_DFR_MOSI,
SMBUS_SMC_5_G3H_SDA,
0V9_SSD,This is a power rail that powers the SSD.
U3100_X,
PPVBAT_AON_CHGR_R,
PPVBAT_AON_CHGR_REG,
TP_DFR_TOUCH_PANEL_DETECT,
I2C_SPKRAMP_L_SCL,
I2C_SPKRAMP_L_SDA,
SENSOR_PWR_EN,
REG_VCC2_U7600,
REG_VCC1_U7600,
PM_EN_REG_P3V3_S5_R,
FET_EN_P12V_S5,
P0V9SSD_SW0,
1V_LDO,
PP2V5_AWAKE_NAND,
P1V8G3S_EN,
SPI_ALT_CLK,
PP1V8_S1_CLVR_VDDH,
P3V3S2_SW,
EC_RSMRST,
5V_S2,
PP3V3_S2_IPD,
LDO2_IN,
PPBUS_AON_3V3S2_VIN_ISNS,
MPMU_VREF_ADC,
UPC_SMC_I2C_INT_L,
TP_CHGR_SMC_RST_L,
SOC_FORCE_DFU_JUMPER,
PPVDD_LDO20_14_8_3,
PPVDD_S2SW_VDD2H,
PP1V2_AON_MPMU,
1V1_LDO_BMC,
HIGH_KERNEL,
PPVOUT_SO_BACK,
PP3V3_G3H2,
PP5V0_S0,
PPVIN_S5_P5VP3V3,
HDA_SDOUT_R,
PP1V8_S0GPU_ISNS,
PP1V5_S0GPU_ISNS,
CPU_VCCSENSE_N,
PP3V3_S0_BKL_VDDIO,
BKL_ISEN2,
PP5V_S0_CPUIMVP_VCC,
PP0V675_CAM_VREF,
CPUIMVP_UGATE1G,
SMBUS_SMC_A_S3_SCL,
P3V3S5_EN_L_R,
SPI_MOSI_R,SPI_MOSI_R is a line between the SPI ROM BIOS chip and resistors that sit between it and the PCH. This often corrodes on Macbook Airs due to liquid damage and results in missing PM_SLP_S4_L and no bootup.
PBUSVSENS_EN_L,
PCH_PWROK,
SYSCLK_CLK25M_TBT,
PP3V3SUS_EN,
SMC_ADPAPTER_EN,"This is a typo of SMC_ADAPTER_EN When you see SMC_ADPAPTER_EN, assume they meant to type SMC_ADAPTER_EN"
P3V3S3_SS,
TBT_S0_EN,
PP0V75_S0,
IG_BKLT_EN,
ALL_SYS_PWRGOD,"This is a typo of ALL_SYS_PWRGD When you see ALL_SYS_PWRGOD, assume they meant to type ALL_SYS_PWRGD"
PPVCORE_S0_CPU_VCAP0,
PPVCORE_S0_CPU_VCAP1,
PPVCORE_S0_CPU_VCAP2,
PP3V42_G3H_TPAD,
PM_RSMRST,
USB_EXTB_SEL_XHCI,
SMBUS_SMC_3,
SMC_BIL_BUTTON_L,
SMBUS_SMC_2,
SMC_PM_G2_EN_L,
PP1V05_S0_VMON,
VMON_3V3_DIV,
PPBUS_S0_LCDBKLT_EN_DIV,
P5VSUS_EN_L,
SMBUS_SMC_2_S3_SDA,
PBUS_S0_LCDBKLT_EN_L,
3V3S5_EN,P3V3S5_EN is a signal that enables the power chip responsible for creating PP3V3_S5
SMC_G2_EN,"SMC_G2_EN is a typo of SMC_PM_G2_EN. If you see SMC_G2_EN assume the poster meant to type SMC_PM_G2_EN. SMC_PM_G2_EN is a signal that comes from the SMC that is a prerequsite for all of the enable signals for the S5 rails to come on, such as P3V3S5_EN. S5 rails will not come on if SMC_PM_G2_EN is not coming."
AUD_GPIO_3,
LPC_CLK24M_SMC,
5V3V3S5_REG3,
P5VSUS_EN,
PP1V05_SO,"This is a typo of PP1V05_S0 When you see PP1V05_SO, assume they meant to type PP1V05_S0"
P3V3S5_CSN2,
P3V3S5_VFB2,
P3V3S5_RF,
P3V3S5_DRVL,
ONOFF_SMC,"ONOFF_SMC is a typo of SMC_ONOFF_L, a signal that tells the computer that the power button has been pressed when it is low, _L means signal is asserted when it is low voltage. "
P5VS0_FET_RAMP,
3V3S5_ENTRIP,
S0PGD_C,
VCCSAS0_LL,
P5VS3_VSW,
PP3V4_G3H,"This is a typo of PP3V3_G3H When you see PP3V4_G3H, assume they meant to type PP3V3_G3H"
ADPATER_EN,"This is a typo of SMC_ADAPTER_EN When you see ADPATER_EN, assume they meant to type SMC_ADAPTER_EN"
P5V_S0_CPUIMVP_VDD,
FET_EN_P12V_S5_R,
PP5V_S0_CPUVR_VDD,
CHGR_CSO_R_P,
PP0V75_S3_MEM_VREFCA_A,
PPVOUT_S0,
PCIE_CLK100M_SSD_N,
SMBUS_SMC_B_S0_SCL,
EDP_IG_BKL_ON,
XDP_USB_EXTA_OC_L,
PPBUS_G3H_TPAD_FLT,
LED_RETURN_5,
LED_RETURN_4,
LED_RETURN_3,
ALLSYS_PWRGD,"This is a typo of ALL_SYS_PWRGD When you see ALLSYS_PWRGD, assume they meant to type ALL_SYS_PWRGD"
PP1V1_S0GPU,
PPVCORE_S0_CPU_PH1_L,
PP3V3_S0_AUDIO,
PP5V_S0_AUDIO,
SMC_ONOF_L,"This is a typo of SMC_ONOFF_L When you see SMC_ONOF_L, assume they meant to type SMC_ONOFF_L"
PP5V1_S4SW_CC1,
PPBUS_SW_BKLT,
BKL_SDA,BKL_SDA is an SMBUS data line between the LED driver and the system management controller(SMC)
PPVIN_S5,
PP1V05_S0_CPU_VCCST,
3V3R3V0_AON,
CPU_VIDSOUT,
PP3V3_S4_IPD,"PP3V3_S4_IPD is a 3.3v power rail for powering the trackpad and keyboard on a Macbook Air. If the keyboard and trackpad are not powering, check the resistor that functions as a fuse between PP3V3_S4 and PP3V3_S4_IPD as it may have blown. "
CHRG_AGATE,"This is a typo of CHGR_AGATE When you see CHRG_AGATE, assume they meant to type CHGR_AGATE"
Z2_CLKIN,
PP5V_S0_AUDIO_AMP_L,
S5_HS,
PPVIN_S0_GFXIMVP,
PP_BUS_G3H,"This is a typo of PPBUS_G3H When you see PP_BUS_G3H, assume they meant to type PPBUS_G3H"
PP3V3_S0_LCD,
DDRREG_LL,
5VREG_EN,
PCH_CLK32K_RTCX,
P3V3SUS_SS,
P3V3_S5_EN,P3V3_S5_EN is a typo of P3V3S5_EN which is a signal that enables the power chip responsible for creating PP3V3_S5. 
PM_CLK32K_SUSCLK_R,
PPBUS_G3H_TPAD,PPBUS_G3H_TPAD is a power rail that powers the trackpad. 
PP3V_S4,"This is a typo of PP3V3_S4 When you see PP3V_S4, assume they meant to type PP3V3_S4"
PP3V3_UPC,
PP1V8_S0SW_SSD_COLD,
LCD_5V_EN,
PP_3V3_S5,
0V9_S5,
PPDCIN_G3,"This is a typo of PPDCIN_G3H When you see PPDCIN_G3, assume they meant to type PPDCIN_G3H"
PP5V_S0_HDD_FLT,
S5PGOOD_DLY,
PM_SP_SUS_L,"This is a typo of PM_SLP_SUS_L When you see PM_SP_SUS_L, assume they meant to type PM_SLP_SUS_L"
SMC_ODD_DETECT,
SMC_OTHER_HI_ISENSE,
PP5V_S3_AUDIO,
SMC_LCDBKLT_ISENSE,
SMC_CPUDDR_ISENSE,
SMC_SSD_ISENSE,
SMC_CPUHI_COMP_ALERT_L,
SMC_CPU_IMON_ISENSE,
M_BATLOW_L,
TBA_PHASE1,
BKL_FSET,
S0_LCDBKLT,
SMC_P1V05S0_VSENSE,
P1V05S0_BOOT_RC,
SYSCLK_CLK25M_CAMERA,
PP3V3_G3H_SMC_ISNS,
PP_BUS,"This is a typo of PPBUS_G3H When you see PP_BUS, assume they meant to type PPBUS_G3H"
PP3V42_H3H,"This is a typo of PP3V42_G3H When you see PP3V42_H3H, assume they meant to type PP3V42_G3H"
CPU_THRMTRIP_3V3,
T29BST_BOOST,
PM_EN_S0,
DFR_TOUCH_ROM_WC,
DFR_TOUCH_PANEL_DETECT,
UPC_T_5V_EN_R,
USBC_XB_USB_TOP_N,
DCIN_VSENSE,
PP1V8_SSD_FMC,
USBC_XA_CC1_CONN,
PVCCIO_PHASE,
AUD_SPKRAMP_RESET_L,
CPUCORE_SW2,
PPDCIN_G3H_SNS,
EDP_INT_ML,
SMBUS_3V3_BATT_SCA,
GMUX_S3_PD_GND,
E85_CC2,
TCON_BKLT_PWM,
EG_RAIL1_EN,
PP3V3_S5_REG_L,
BKL_PWN,
PP3V3_SSD_NAND,
PP2V5_S3,
CPUGT_PHASE1,
PP1V8_UPC,
PPBUS_G3H_SPKRAMP_LEFT,
P3V3_S5_REG_L,
UPC_XA_HPD_RX,
PP1V0_SUSSW,
PP1V8_UPC_XA,
PP3V3_UPC_XA,
PP1V1_UPC_XB_LDO,
CHGR_GATE_Q1,
P2V5_SW2_TPS62180_SSD0,
P2V5_NAND_SSD0,
3V3_S0_FET,
PPVIN_2V7_NAND_LB,
PP3V42_G3H_SMC_CLK_F,
SMC_CLK_R,
3V3_GPU,
PM_EN_FET_P12V_S5_SSD,
TBA_COMP,
3V3_S5_SSD,
PM_PCH_SYS_PWOK,"This is a typo of PM_PCH_SYS_PWROK When you see PM_PCH_SYS_PWOK, assume they meant to type PM_PCH_SYS_PWROK"
TBA_GATE_Q2,
PP0V95_S0_CPUVCCIO_REG_R,
PP3V3_S5_POLARIS,
PP1V5_UPC_XB_LDO_CORE,
FAN_LT_TACH,
KBD_I2C_SDA,
KBD_INT_L,
SMC_LSCO_RST_L,
SMC_GFX_VSENSE,
SMC_CPUVCCIO_ISENSE,
PPVOUT_S0_LCD_BKLT,
P5VG3S_VSW,
USBC_XB_USB_TOP_P,
USBC_TB_USB_BOT_N,
LCD_BKLT_EN_L,
SOC_AWAKE_BLUE,
PP5V_G3S_CPUREG_MISC,
CHGR_COMP,
PP1V8_AWAKE_SOC_FMON_RC,
PMU_ON_OFF_L,
XB_CC2,
SYSCLK_CLK32K,
PPVCCOPC_S0G,
PP20V_USBC_TB_VBUS_F,
PICCOLO_PGOOD,
P0V9_LX0_SSD0,
CPUVR_SW2,
SOC_BLUE_AWAKE,
3V_ALW,
SSD0_VR_P2V5_EN,
2V5_NAND,This is a power rail that powers the SSD that is soldered onto the logic board of Macbook Pro models with a soldered on SSD
ALL_SYSPWRGD,"This is a typo of ALL_SYS_PWRGD When you see ALL_SYSPWRGD, assume they meant to type ALL_SYS_PWRGD"
TBT_X_ROM_HOLD_L,
TBT_T_CIO_PWR_EN,
SMC_CHGR_BMON,
PP18V5_DCIN_CONN_R,
PP1V05_S0_PCH_VCCAPLL_OPI,
PMU_TO_SOC_RESET_L,
SHP_INTRUDER_L,
PP1V8_UPC_XA_LDO,
SOC_RED_SLPS2R,
SSD_PMU_RESET_L,
PP0V88_S1,
PCIE_MINI_PRSNT_L,
P1V8SSD_SW0,
SOLVE_REPAIR_22,
U3100_W,
BL_PWR_EN,
UPC_TB_GATE1,
UPC_TB_GATE2,
PM_PGOOD_REG_P3V3_S5,
SMC_TM,
USBC1_3V3LDO_EN,
PPVDD_PMU_LDO_PREREG,
PP0V72_S2_VDD_LOW,
PP1V8_AON_SPMU,
PP5V_SW_LCD,
PPDCIN_G3H_CHGR_AMON,
PPHV_INT0_AONSW,
USBC0_3V3LDO_EN,
AMR_LEFT,
SMC_GFX_ISENSE,
0_0C4,
PP1V2_AON,
U3100_T,
SMC_PROCHOT_L,
I2C_SPKRAMP_R_SCL,
I2C_SPKRAMP_R_SDA,
HALL_SENSR_LEFT,"This is a typo of HALL_SENSOR_LEFT When you see HALL_SENSR_LEFT, assume they meant to type HALL_SENSOR_LEFT"
PP1V8_S2SW_CLVR_VDDC1_LDO,
LDO0_IN,
UPC_XB_SPI_CLK,
CPUGT_SW3,
P3V3S2_DSCHG_EN_RC,
I2C_SMC_PWR_SDA,
I2C_SMC_PWR_1V8_SDA,
I2C_SMC_PWR_1V8_SCL,
PP1V1_S3_REG_R,
P3V3S2_FB,
PANEL_P3V3_EN_DLY,
PP1V2_AON_SPMU,
AP_TO_LCM_RESET_L,"This signal resets the wifi circuit when low.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PM_SLP4_L,
PP5V_5S,"This is a typo of PP5V_S5 When you see PP5V_5S, assume they meant to type PP5V_S5"
PPIVS0_S5,
SM_RESET_L,"This is a typo of SMC_RESET_L When you see SM_RESET_L, assume they meant to type SMC_RESET_L"
820_00165,
PP5V_MAIN,
PP3V3_G3H_VDDMAIN,
PP3V3_UPC_TA,
PP5V_S3_RTUSB_B_ILIM,
ONEWIRE_EN,
SMC_TPAD_RST,
CHRG_BGATE,"This is a typo of CHGR_BGATE When you see CHRG_BGATE, assume they meant to type CHGR_BGATE"
PP1V2_ENET,
PPDCIN_G3H_OR_PBUS_R,
TBT_PWR_EN,
PM_MEM_PWRGD_L,
PP5V0_S5,
SW_0,
P5V1_SW,
5VS0_EN,5VS0_ EN is a signal that enables the PP5V_S0 power rail when it is high. Signals with _EN on the end enable whatever came before the _EN if the signal is high. 
LCD_BKLT,
LVDS_DDC,
PVCORE_S0_CPU,
PP5V_S0_BKL,
BKL_ISEN1,
PP5V_S0_BKLTCTRL,
PP0V9_ENET,
PP1V05_S0_MCP_PLL_UF,
SMC_PM_G2_ENABLE,
SPI_CSO_L,
PCH_CLK32K,
PPBUS_G3H_ISNS,
PP5V_S4RS3_EN,
P5V_S5_EN,
CPUVTTS0_EN,
RSMRST_L,RSMRST_L is an abbreviation of PM_RSMRST_L
SMC_INT_L,
PP5V_S0_CPUIMVP,
CPUIMVP_LGATE1G,
I2C_ALS_SDA,I2C_ALS_SDA is a SMBUS data line between the ambient light sensor and the T2 chip.
PPBUS_SO_LCDBKLT_FUSED,"This is a typo of PPBUS_S0_LCDBKLT_FUSED When you see PPBUS_SO_LCDBKLT_FUSED, assume they meant to type PPBUS_S0_LCDBKLT_FUSED"
PP3V42_G3H_ONEWIRE,
PP3V42_S5,"PP3V42_S5 is not real. You have PP3V3_S5 which is a 3.3v power rail when the system is in a soft off state, and PP3V42_G3H which is a 3.42v power rail when the system is in a G3H mechanical off state. "
PPVCSA_S0_CPU,
PP5V_S0_FET_R,
FAN_0_CTL,
PPVIN_S5_CPU_IMVP_ISNS,
SMC_OOB1_D2R_CONN_L,
SSD_PWR_FET_EN,
SYS_PWORK_R,"This is a typo of SYS_PWROK When you see SYS_PWORK_R, assume they meant to type SYS_PWROK"
BAT_LOW,
PPV5_S3,"This is a typo of PP5V_S3 When you see PPV5_S3, assume they meant to type PP5V_S3"
CPUIMVP_PHASE,
VCORE_S0_CPU,
PPBUS_G3_H,"This is a typo of PPBUS_G3H When you see PPBUS_G3_H, assume they meant to type PPBUS_G3H"
TRAP_NATIVE,
PPVCORE_S0_MCP_REG,
PP5V_S3_USB_A_F,
USB_EXTA_OC_L,
PP3V3S5_EN,PP3V3S5_EN is a typo ofP3V3S5_EN_L which is a signal that enables the power chip responsible for creating PP3V3_S5.
PPV3V42_G3H,"This is a typo of PP3V42_G3H When you see PPV3V42_G3H, assume they meant to type PP3V42_G3H"
BIL_BUTTON,
Z2_SCLK,
S5_COMPUTING_ISNS,
PPVIN_BKL_R,
P3V3S3_EN_L,"P3V3S3_EN_L is a signal that turns on the PP3V3_S3 power rail when it is low. _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PP3V3_S0GPU_MISC,
PPBUS_S5_HS_COPMUTING_ISNS,"This is a typo of PPBUS_S5_HS_COMPUTING_ISNS When you see PPBUS_S5_HS_COPMUTING_ISNS, assume they meant to type PPBUS_S5_HS_COMPUTING_ISNS"
PP1V5_SO,"This is a typo of PP1V5_S0 When you see PP1V5_SO, assume they meant to type PP1V5_S0"
CPUIMVP_LGATE1,
PBUS_S0_LCDBKLT_EN_DIV,
CPUTHMSNS_ALERT_L,
SPIROM_HOLD_L,
P3V3S5_CSP2,
P3V3S5_COMP2,
P3V3S5_VBST,
P5V_S4RS3_VFB1_R,
PP3V3_S0_VMON,
PPVIN_BKL,
PPBUS_S5_HS_COMP,
PWRBTN_L,"PWRBTN_L Is an abbreviation of PM_PWRBTN_L which refers to the power button signal line. This line is used to initiate the power-on sequence of the laptop. The ""L"" at the end of ""PM_PWRBTN_L"" suggests that it is an active-low signal, meaning that when the power button is pressed, the signal is pulled low to initiate the boot sequence."
PP5V_S4_TPAD_F,
S5_HS_COMPUTING_ISNS,
PP1V0_FW_FWPHY,
LVDS_CONN_A_CLK_F_P,
SMC_DELAYED,SMC_DELAYED Is an abbreviation of SMC_DELAYED_PWRGD which is a signal that comes from the SMC that is a pre-requisite for SYS_PWROK_R and PM_PCH_SYS_PWROK.
PP3V3_S0_SSD_FLT,
SATA_PCIE_SEL,
USB_BT_P,
USB_BT_N,
PPVOUT_S0_LCDBKL,
PMSLP_S4_L,"This is a typo of PM_SLP_S4_L When you see PMSLP_S4_L, assume they meant to type PM_SLP_S4_L"
EDP_IG_PANEL_PWR,
BB_CPU,
ADAPTOR_EN,"This is a typo of SMC_ADAPTER_EN When you see ADAPTOR_EN, assume they meant to type SMC_ADAPTER_EN"
CPUIMVP_BOOT1G,
PPVCORE_CPU_S0,
PP5V_S4_RS3,"This is a typo of PP5V_S4RSE When you see PP5V_S4_RS3, assume they meant to type PP5V_S4RSE"
SMC_RX_L,
RTC_CLK32K_XTALOUT_R,
PP1V05_S0_REG,
P5V3V3_S4_EN,
P5V_S4,
PM_PCH_SYSPWROK,"This is a typo of PM_PCH_SYS_PWROK When you see PM_PCH_SYSPWROK, assume they meant to type PM_PCH_SYS_PWROK"
CPUIMVP_BOOT1,
PPV5_S4,
S5_HS_COMPUTING,
PP3V3_S3_EN,
PM_SLP_S5L,"This is a typo of PM_SLP_S5_L When you see PM_SLP_S5L, assume they meant to type PM_SLP_S5_L"
PP3V3_S4_PSOC,
SW_LCD,
I2C_TPAD_SDA,
PP3V42_G3H_CHGR,
PPVIN_S4SW_TBTBST_FET,
PP5V_SW_ODD,
PP5V_S3_IR_R,
USB_CAMERA_N,
PP1V05_FW,
PM_EN_P5VS5,
BKLT_PWM_MLB2TCON,
PP3V4S_G3H,
PP5_S3,
CHRG_DCIN,
CPUVTTS0_PGOOD,
PP5_S5_LDO,
EDP_BLKT_EN,
EDP_INT_AUX,
PP5V_S4_AUDIO_XW,
PPVCORE_S0_CPU_VCCAXG,
P3V3S3_S4,
PPVCCIO_S0,
PP5V_S0_GFXIMVP_VDD,
DDRREG_FB,
DDRREG_VDDQSNS,
DDRREG_DRVH,
P5V_S4RS3_FUNC,
PP1V1_S5_REG,
PGOOD_1V1_S5,
USB_EXTA_N,
SMC_TX_L,
PP5V_S4_IPD,
EG_RAIL3_EN,
USB3_EXTA_R2D_C_N,
USB3_EXTA_R2D_C_P,
PPVIN_S0_CPU,
DP_INT_ML_N,
CAM_PCIE_RESET_L,
CLKREQ_L,
LID_SW,
ALL_SYS_PWR_GOOD,"This is a typo of ALL_SYS_PWRGD. When you see ALL_SYS_PWR_GOOD, assume they meant to type ALL_SYS_PWRGD"
DP_MUX_EN,
ALL_SYS_PWRG,"This is a typo of ALL_SYS_PWRGD. When you see ALL_SYS_PWRG, assume they meant to type ALL_SYS_PWRGD"
5V3V3S5_REG5,
PM_RSM_RST_L,
PPVRTC_G3J,
KBDLED_CATHODE2,
CPUIMVP_IMAXA,
PCIE_CLK100M_SSD_LB_P,
SMC_BC_AC_OK,
SSD_CLQREQ_L,
PDDR_S3_REG_L,
LVDS_BKL_ON,
CPUVCORE_HISIDE_IOUT,
PP3V3SSD_VMON,
TBT_PWR_ON_POC_RST_L,
P1V05_S0GPU_EN,
MBA61_0099_B20_LOCKED,
PCH_SRTC_RST_L,
S0_PWR_PGOOD,
PPVCCSA_S0G_R,
SML_PCH_1_CLK,
SML_PCH_1_DATA,
SMC_PECI_L,
PP3V3_SUS_PWRCTL,
P3V3_S5_LL,
PP3V3_SUS_EN,
PP5V_S3_TPAD,
PP5V_S3_IR,
PP3V3_TBT_T_F,
SMC_BMON_COMP_ALERT_L,
AP_PCIE_WAKE_L,
P3V42G3H_TON,
PPVRTC_G3H_PCH,
TBA_PHASE2,
BKL_FLTR,
SMC_THRMTRIP,
PL_RESET_L,"This is a typo of PLT_RESET_L When you see PL_RESET_L, assume they meant to type PLT_RESET_L"
PP5_S0,"This is a typo of PP5V_S0 When you see PP5_S0, assume they meant to type PP5V_S0"
SYS_DETECT_LED,
SMBUS_SMC_4_G3_SCL,
DCIN_ISOL,
SMC_PWR_EN,
DP_INT_HDP,
TBA_CSIR_N,
TBA_CSIR_P,
PP3V3_S4_FET,
PP1V5_S3RS0_FET,
PP1V5_S3_P1V5S3RS0_FET,
1V25_VREF,
SLP_S5_L,SLP_S5_L is an abbreviation for PM_SLP_S5_L
PM_PWRBTNL_L,"This is a typo of PM_PWRBTN_L When you see PM_PWRBTNL_L, assume they meant to type PM_PWRBTN_L"
PD_SMC_CBC_ON,
XDP_CPU_PWRBTN_L,
SMC_ONFF_L,"This is a typo of SMC_ONOFF_L When you see SMC_ONFF_L, assume they meant to type SMC_ONOFF_L"
LCD_PWR_SLEW_3V3,
MIPI_DATA_CONN_P,
I2C_CAM_SDA,I2C_CAM_SDA is an SMBUS data line between the webcam and the chip that controls the camera. 
BUF_PLT_RST_L,
3V3_S4_FET,
EN_R,
25M_A,
PCH_RESET_L,
PP0V6_S3_DDRVTT,
DFR_CLKIN_RESET_L,
PPVCORE_S0_AXG2_L,
PPVCORE_S0_AXG1_L,
PCH_CLK32K_RTCX2,
SMC_PCH_PWROK,
SMC_PCH_SYS_PWROK,
SMC_SYSRST_L,
PP1V8_S0_GPU,
PM_SLP_S0,
SMC_BMON,
DDREG_EN,"This is a typo of DDRREG_EN When you see DDREG_EN, assume they meant to type DDRREG_EN"
PP3V3_S4_AP,
USB_EXTA_P,
P1V05S0_DRVH,
P1V2_PHASE,
TBA_CSI_N,
BUF_SMC_REST_L,
DP_INT_IG,
P5V_S3_EN,
CHRG_BMON,
PP5V1_CHRG_VDD,
INVPWR_B,
CHGR_LDO_VDDP,
PP3V3_S0SW_TBT_T,
PP3V3_G3H_UPC_XB,
PIN1_C9796,
PP3V3_S0_EDP_R,
HOT_PLUG_DETECT,
P3V3_S5_VFB2_R,
CPU_VCCST_PWRGD_R,
PP0V6_S3_MEM_VREFDQ_A,
PP0V6_S3_MEM_VREFCA_A,
PP5_S4,"This is a typo of PP5V_S4 When you see PP5_S4, assume they meant to type PP5V_S4"
SSD_BOOT_CONN_L,
PP3V0_MESA,
USB_UPC_PCH_XB_P,
TBTBST_BOOST,
CPUCORE_PHASE2,
CPUGT_PHASE2,
CPUGT_GL1,
CPUGT_GL2,
PCH_DSW_PWRGD,
PP1V_SUS,
1V2_S5_SMC,
PM_SYS_PWROK,
TP_USBC_PP20V_XB,
PP3V3_G3H_KBD,
AP_RESET_CONN_R_L,"AP_RESET_CONN_R_L resets the wifi hardware when it is low, which will keep it from working. AP_RESET_L needs to be high for reset to not be asserted.  _L means whatever before the _L in the signal name is asserted when it is low voltage, such as 0.0v to 0.5v."
PMU_ONOFF_R_L_CONN,
SMC_PME_S4_DARK_L,
AUD_SPDIF_OUT,
MPM_PBUS,
PPCHGR_DCIN_D,
PPVCORE_SO_CPU_PH3_L,
TBA_BOOT2_RC,
EDP_INT_ML_X,
B_LDOD,
PP3V3_S0SW_DFR,
SOC_PCH_DBELL_L,
PPDCPRTC_PSH,
BKLT_KEYB1,
PP3V3_G3S_WLANBT,
PS_DSW_PWRGD,
BKLT_BOOST,
PM_PWRBT_L,
E85LSMUX_RFU_EN_L,
PDDR_S3_REG,
PP12V_S5_FET_P3V3_S5_P5V_S4,
PP12V_S5_SSD,
AUD_SPKRAMP_INT_L,
P3V3_S5_DRVH,
PP0V9_SLPS2R,
PP1V2_S0G,
SSD0_OCARINA_WP_L,
SSD0_OCARINA_RESET_L,
PP5V_S0_P1V05S0_VCC,
PPVCORE_S0_AXG_L,
P1V8S0_COMP,
PPV1_PRIM,
GPUTHMSNS_ALERT_L,
TBA_CSOR_N,
DP_INT_HP,
PMIC_EN3V3SW,
PDCIN_G3H_ISOL,
P5V_S5,
FSB_CPURST_L,
GTVR_SW2,
TBA_GATE_Q3,
RTC_REST_L,
PCH_BATLOW,
PPVCORE_S0_GFX_PH3,
PP5V_USBC,
PPBUS_G3HV,
VR_RDY,
PM_PGOOD_REG_CPUCORE_S0,
PP1V1_UPC_XB_BMC,
HV_GATE1,
HV_GATE2,
3V3_S4_TPAD,
CPU_VCCSENSE_P,
SMC_RST_BTN_L,
USBC_XB_USB_BOT_N,
USBC_XA_USB_DBG_BOT_N,
USBC_XA_USB_DBG_TOP_N,
USBC_TB_USB_TOP_P,
USBC_TA_USB_TOP_N,
PP3V3_S5_SSD_SNS,
PP1V1_SLPDDR_SOC,
PP3V3_G3H_SSD,
CPUGT_FCCM,
PP1V8_SLPS2R_SOC_LPOSC_RC,
SOC_SLPS2R_RED,
SSD0_VR_P2V5_PGOOD,
PP_3V3_SUS,
PP5V0_S4,
CPUGT_PWM2,
P5VG3S_EN_DLY,
PMU_ONOFF_R_L,
XA_CC1,
PP1V8_SLP2R,
PPVCCPU_S0G,
LCD_BLKT_EN,
SMC_3,
PP1V8_MESA,
P0V9_LX0_SSD1,
PVDDQ_EN_R,
MESA_BOOST_EN,
AUD_HP_PORT_L,
PPBAT_R,
PPBAT_CONN,
TBT_BATLOW,
INTRUDER_L,
ASDU_SSPS_063,
CHGR_CBC_ON,
PM_EN_REG_GPU_VDDQ_S0,
PM_PGOOD_REG_GPU_VDDQ_S0,
REG_CPUVCC_PGOOD,
P3V3S5_TG,
PM_DSW_PWRG,
ALL_PAGES,
SNS_ACDC_N,
SNS_ACDC_P,
LDO_IN,
UPC_TA_UART_RX,
PCIE_CLK100M_AP_CONN_N,
PCIE_AP_D2R_P,
PCIE_AP_D2R_N,
PCIE_AP_R2D_N,
SAVR_SW,
PPVCCCPU_S0G_PH2,
I2C_SSD_SCL,
SAVE_BAT_G,
AP_CLKREQ_R_L,
EDP_AUXCH_P,
P3V3_S0,
PP1V05_S0_PCH_VCC_ICC_R,
LVDS_BKL_PWM_R,
PPVBUS_USBC_XB,
PPVBUS_USBC_XA,
CHGR_VBAT,
PMU_VPUMP,
PP5V_S0_VCORE2,
TPAD_SPI_IF_CONN,
SSD0_PMIC_VR_P2V5_EN,
3V3_AWAKE,
PP1V05_PCH_CPU,
UPC_XB_LDO_BMC,
5V_CAM,
P2V7NAND_PGOOD,
AUD_I2C_1B_SCL,
PM_PGOOD_REG_P5V_S4,
P3V3G3H_FB_R,
P3V3G3H_FB_RC,
USBC_XB_SBU1,
USBC_XB_SBU2,
USBC_XA_SBU1,
PPVCC_S0_CPU_PH3,
SSD0_VR_2V5_EN,
PP3V8AON_PH1,
PPVDD_GPU_AWAKE,
PPVDD_CPU_SRAM_AWAKE,
PP1V4_LDO_PREREG,
TP_Q3100_DRAIN,
TBT_X_SPI_CS_L,
TBT_X_SPI_MOSI,
PPVCCIN_S0_CPU,
5V_S4RS3,
PPVBUS_USBC_TA,
CHR_A,
L3500_VWR,
L3500_VXT,
3V3_G3H_RTC_X,
I2C_ALS_SCL,
PP3V3_G3H_RTC_ISOL,
CHGR_GATE_Q4,
